,,,,family,,,Uniprot,
PF15443,Domain of unknown function (DUF4630),pfam,family,IPR027868,-,-,A6NCS6,295
PF03285,Paralemmin,pfam,family,IPR004965,-,-,A6NDB9,673
PF17716,RAB7A-interacting MON1-CCZ1 complex subunit 1,pfam,family,IPR037657,-,-,A6NDU8,294
PF02205,WH2 motif,pfam,family,IPR003124,-,-,A6NGB9,483
PF05351,"GMP-PDE, delta subunit",pfam,family,IPR008015,-,-,A6NIH7,251
PF13908,Wnt and FGF inhibitory regulator,pfam,family,IPR026910,-,-,A6NL88,538
PF16297,Domain of unknown function (DUF4939),pfam,family,IPR032549,-,-,A6ZKI3,113
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,A1A5C7,686
PF14722,Ki-ras-induced actin-interacting protein-IP3R-interacting domain,pfam,family,IPR029325,-,-,A2RU30,521
PF01128,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,pfam,family,IPR034683,-,-,A4D126,451
PF14753,Protein FAM221A/B,pfam,family,IPR026755,-,-,A4D161,298
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,A4D1E9,387
PF06159,Protein of unknown function (DUF974),pfam,family,IPR010378,-,-,A5PLN9,417
PF15443,Domain of unknown function (DUF4630),pfam,family,IPR027868,-,-,A6NCS6,295
PF03285,Paralemmin,pfam,family,IPR004965,-,-,A6NDB9,673
PF17716,RAB7A-interacting MON1-CCZ1 complex subunit 1,pfam,family,IPR037657,-,-,A6NDU8,294
PF02205,WH2 motif,pfam,family,IPR003124,-,-,A6NGB9,483
PF05351,"GMP-PDE, delta subunit",pfam,family,IPR008015,-,-,A6NIH7,251
PF13908,Wnt and FGF inhibitory regulator,pfam,family,IPR026910,-,-,A6NL88,538
PF16297,Domain of unknown function (DUF4939),pfam,family,IPR032549,-,-,A6ZKI3,113
PF13908,Wnt and FGF inhibitory regulator,pfam,family,IPR026910,-,-,B4DS77,424
PF14799,FAM195 family,pfam,family,IPR029428,-,-,C9JLW8,97
PF01849,NAC domain,pfam,family,IPR002715,-,-,E9PAV3,2078
PF13903,PMP-22/EMP/MP20/Claudin tight junction,pfam,family,IPR004031,-,-,H3BS89,294
PF03265,Deoxyribonuclease II,pfam,family,IPR004947,-,-,O00115,360
PF15936,Domain of unknown function (DUF4749),pfam,family,IPR031847,-,-,O00151,329
PF00835,SNAP-25 family,pfam,family,IPR000928,-,-,O00161,211
PF01742,Clostridial neurotoxin zinc protease,pfam,family,IPR000395,-,-,O00161,211
PF00995,Sec1 family,pfam,family,IPR001619,-,-,O00186,592
PF15477,Small acidic protein family,pfam,family,IPR028124,-,-,O00193,183
PF14796,Clathrin-adaptor complex-3 beta-1 subunit C-terminal,pfam,family,IPR029390,-,-,O00203,1094
PF04420,CHD5-like protein,pfam,family,IPR028945,-,-,O00258,174
PF00467,KOW motif,pfam,family,IPR005824,-,-,O00267,1087
PF03439,"Early transcription elongation factor of RNA pol II, NGN section",pfam,family,IPR005100,-,-,O00267,1087
PF01608,I/LWEQ domain,pfam,family,IPR002558,-,-,O00291,1037
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,O00303,357
PF13012,Maintenance of mitochondrial structure and function,pfam,family,IPR024969,-,-,O00303,357
PF02817,e3 binding domain,pfam,family,IPR004167,-,-,O00330,501
PF02205,WH2 motif,pfam,family,IPR003124,-,-,O00401,505
PF06487,Sin3 associated polypeptide p18 (SAP18),pfam,family,IPR010516,-,-,O00422,153
PF01031,Dynamin central region,pfam,family,IPR000375,-,-,O00429,736
PF02212,Dynamin GTPase effector domain,pfam,family,IPR003130,-,-,O00429,736
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,O00443,1686
PF01390,SEA domain,pfam,family,IPR000082,-,-,O00468,2068
PF00622,SPRY domain,pfam,family,IPR003877,-,-,O00478,584
PF13765,SPRY-associated domain,pfam,family,IPR006574,-,-,O00478,584
PF01101,HMG14 and HMG17,pfam,family,IPR000079,-,-,O00479,90
PF06522,NADH-ubiquinone reductase complex 1 MLRQ subunit,pfam,family,IPR010530,-,-,O00483,81
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,O00487,310
PF01425,Amidase,pfam,family,IPR023631,-,-,O00519,579
PF08487,Vault protein inter-alpha-trypsin domain,pfam,family,IPR013694,-,-,O00534,786
PF02121,Phosphatidylinositol transfer protein,pfam,family,IPR001666,-,-,O00562,1244
PF02862,DDHD domain,pfam,family,IPR004177,-,-,O00562,1244
PF01798,"snoRNA binding domain, fibrillarin",pfam,family,IPR002687,-,-,O00567,594
PF06365,CD34/Podocalyxin family,pfam,family,IPR013836,-,-,O00592,558
PF02678,Pirin,pfam,family,IPR003829,-,-,O00625,290
PF08543,Phosphomethylpyrimidine kinase,pfam,family,IPR013749,-,-,O00764,312
PF03359,Guanylate-kinase-associated protein (GKAP) protein,pfam,family,IPR005026,-,-,O14490,977
PF01569,PAP2 superfamily,pfam,family,IPR000326,-,-,O14495,311
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,O14514,1584
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,O14514,1584
PF19188,Adhesion GPCR B N-terminal region,pfam,family,IPR043838,-,-,O14514,1584
PF05328,"CybS, succinate dehydrogenase cytochrome B small subunit",pfam,family,-,-,-,O14521,159
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,O14526,889
PF02238,Cytochrome c oxidase subunit VII,pfam,family,IPR039297,-,-,O14548,114
PF00525,"Alpha crystallin A chain, N terminal",pfam,family,IPR003090,-,-,O14558,160
PF11540,Cytoplasmic dynein 1 intermediate chain 2,pfam,family,IPR025956,-,-,O14576,645
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,O14578,2027
PF14957,Cdc42 effector,pfam,family,IPR029273,-,-,O14613,210
PF06375,AP-3 complex subunit delta-1,pfam,family,IPR010474,-,-,O14617,1153
PF16182,Putative adherens-junction anchoring region of AbLIM,pfam,family,IPR032402,-,-,O14639,778
PF06309,Torsin,pfam,family,IPR010448,-,-,O14656,332
PF05739,SNARE domain,pfam,family,IPR000727,-,-,O14662,325
PF01066,CDP-alcohol phosphatidyltransferase,pfam,family,IPR000462,-,-,O14735,213
PF01984,Double-stranded DNA-binding domain,pfam,family,IPR002836,-,-,O14737,125
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,O14764,452
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,O14764,452
PF01846,FF domain,pfam,family,IPR002713,-,-,O14776,1098
PF11980,C-terminal domain of neuropilin glycoprotein,pfam,family,IPR022579,-,-,O14786,923
PF05835,Synaphin protein,pfam,family,IPR008849,-,-,O14810,134
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,O14818,248
PF00617,RasGEF domain,pfam,family,IPR001895,-,-,O14827,1237
PF04144,SCAMP family,pfam,family,IPR007273,-,-,O14828,347
PF01968,Hydantoinase/oxoprolinase,pfam,family,IPR002821,-,-,O14841,1288
PF02538,Hydantoinase B/oxoprolinase,pfam,family,IPR003692,-,-,O14841,1288
PF05378,Hydantoinase/oxoprolinase N-terminal region,pfam,family,IPR008040,-,-,O14841,1288
PF10436,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,pfam,family,IPR018955,-,-,O14874,412
PF01124,MAPEG family,pfam,family,IPR001129,-,-,O14880,152
PF00614,Phospholipase D Active site motif,pfam,family,IPR001736,-,-,O14939,933
PF02939,UcrQ family,pfam,family,IPR004205,-,-,O14949,82
PF03643,Vacuolar protein sorting-associated protein 26,pfam,family,IPR028934,-,-,O14972,297
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,O14975,620
PF11976,Ubiquitin-2 like Rad60 SUMO-like,pfam,family,IPR022617,-,-,O14979,420
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,O15031,1838
PF01805,Surp module,pfam,family,IPR000061,-,-,O15042,1029
PF02383,SacI homology domain,pfam,family,IPR002013,-,-,O15056,1496
PF01849,NAC domain,pfam,family,IPR002715,-,-,O15069,1562
PF03607,Doublecortin,pfam,family,IPR003533,-,-,O15075,740
PF15290,Golgi-localised syntaxin-1-binding clamp,pfam,family,IPR028197,-,-,O15079,494
PF02460,Patched family,pfam,family,IPR003392,-,-,O15118,1278
PF12349,Sterol-sensing domain of SREBP cleavage-activation,pfam,family,IPR000731,-,-,O15118,1278
PF04144,SCAMP family,pfam,family,IPR007273,-,-,O15126,338
PF04144,SCAMP family,pfam,family,IPR007273,-,-,O15127,329
PF04045,"Arp2/3 complex, 34 kD subunit p34-Arc",pfam,family,IPR007188,-,-,O15144,300
PF04062,ARP2/3 complex ARPC3 (21 kDa) subunit,pfam,family,IPR007204,-,-,O15145,178
PF01553,Acyltransferase,pfam,family,IPR002123,-,-,O15228,680
PF19277,Glycerol-3-phosphate acyltransferase C-terminal region,pfam,family,IPR045520,-,-,O15228,680
PF15879,NADH-ubiquinone oxidoreductase MWFE subunit,pfam,family,IPR017384,-,-,O15239,70
PF01756,Acyl-CoA oxidase,pfam,family,IPR002655,-,-,O15254,700
PF02077,SURF4 family,pfam,family,IPR002995,-,-,O15260,269
PF13844,Glycosyl transferase family 41,pfam,family,IPR029489,-,-,O15294,1046
PF00001,7 transmembrane receptor (rhodopsin family),pfam,family,IPR000276,-,-,O15354,613
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,O15355,546
PF05091,Eukaryotic translation initiation factor 3 subunit 7 (eIF-3),pfam,family,IPR007783,-,-,O15371,548
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,O15372,352
PF19445,C-terminal region of eIF3h,pfam,family,IPR045810,-,-,O15372,352
PF05739,SNARE domain,pfam,family,IPR000727,-,-,O15400,261
PF00648,Calpain family cysteine protease,pfam,family,IPR001300,-,-,O15484,640
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,O15498,198
PF01463,Leucine rich repeat C-terminal domain,pfam,family,IPR000483,-,-,O43155,660
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,O43166,1804
PF11881,C-terminal domain of SPAR protein,pfam,family,IPR021818,-,-,O43166,1804
PF04800,NADH dehydrogenase ubiquinone Fe-S protein 4,pfam,family,IPR006885,-,-,O43181,175
PF05783,Dynein light intermediate chain (DLIC),pfam,family,IPR022780,-,-,O43237,492
PF08375,Proteasome regulatory subunit C-terminal,pfam,family,IPR013586,-,-,O43242,534
PF12414,Calcitonin gene-related peptide regulator C terminal,pfam,family,IPR025670,-,-,O43251,390
PF01619,Proline dehydrogenase,pfam,family,IPR002872,-,-,O43272,600
PF03343,SART-1 family,pfam,family,IPR005011,-,-,O43290,800
PF04114,"Gaa1-like, GPI transamidase component",pfam,family,IPR007246,-,-,O43292,621
PF03535,Paxillin family,pfam,family,-,-,-,O43294,461
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,O43295,1099
PF02205,WH2 motif,pfam,family,IPR003124,-,-,O43312,755
PF08397,IRSp53/MIM homology domain,pfam,family,IPR013606,-,-,O43312,755
PF05347,Complex 1 protein (LYR family),pfam,family,IPR008011,-,-,O43325,122
PF04201,Tumour protein D52 family,pfam,family,IPR007327,-,-,O43399,206
PF03665,Uncharacterised protein family (UPF0172),pfam,family,IPR005366,-,-,O43402,210
PF00929,Exonuclease,pfam,family,IPR013520,-,-,O43414,337
PF02383,SacI homology domain,pfam,family,IPR002013,-,-,O43426,1573
PF05427,Acidic fibroblast growth factor binding (FIBP),pfam,family,IPR008614,-,-,O43427,364
PF04382,SAB domain,pfam,family,IPR007477,-,-,O43491,1005
PF08736,FERM adjacent (FA),pfam,family,IPR014847,-,-,O43491,1005
PF17818,Keratinocyte-associated gene product,pfam,family,-,-,-,O43493,437
PF02205,WH2 motif,pfam,family,IPR003124,-,-,O43516,503
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,O43525,872
PF03520,KCNQ voltage-gated potassium channel,pfam,family,IPR013821,-,-,O43525,872
PF11956,Ankyrin-G binding motif of KCNQ2-3,pfam,family,IPR020969,-,-,O43525,872
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,O43526,872
PF03520,KCNQ voltage-gated potassium channel,pfam,family,IPR013821,-,-,O43526,872
PF11956,Ankyrin-G binding motif of KCNQ2-3,pfam,family,IPR020969,-,-,O43526,872
PF19282,Exportin-T,pfam,family,IPR045546,-,-,O43592,962
PF03607,Doublecortin,pfam,family,IPR003533,-,-,O43602,365
PF04051,Transport protein particle (TRAPP) component,pfam,family,IPR007194,-,-,O43617,180
PF03357,Snf7,pfam,family,IPR005024,-,-,O43633,222
PF09781,"NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit",pfam,family,IPR019173,-,-,O43674,189
PF08122,NADH-ubiquinone oxidoreductase B12 subunit family,pfam,family,IPR012576,-,-,O43676,98
PF15088,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",pfam,family,IPR026192,-,-,O43677,76
PF04739,"5'-AMP-activated protein kinase beta subunit, interaction domain",pfam,family,IPR006828,-,-,O43741,272
PF16561,Glycogen recognition site of AMP-activated protein kinase,pfam,family,IPR032640,-,-,O43741,272
PF05739,SNARE domain,pfam,family,IPR000727,-,-,O43752,255
PF04667,cAMP-regulated phosphoprotein/endosulfine conserved region,pfam,family,IPR006760,-,-,O43768,121
PF08232,Striatin family,pfam,family,IPR013258,-,-,O43815,780
PF02630,SCO1/SenC,pfam,family,IPR003782,-,-,O43819,266
PF00675,Insulinase (Peptidase family M16),pfam,family,IPR011765,-,-,O43847,1151
PF16187,Middle or third domain of peptidase_M16,pfam,family,IPR032632,-,-,O43847,1151
PF10200,"NADH:ubiquinone oxidoreductase, NDUFS5-15kDa",pfam,family,IPR019342,-,-,O43920,106
PF05351,"GMP-PDE, delta subunit",pfam,family,IPR008015,-,-,O43924,150
PF04824,Conserved region of Rad21 / Rec8 like protein,pfam,family,IPR006909,-,-,O60216,631
PF04825,N terminus of Rad21 / Rec8 like protein,pfam,family,IPR006910,-,-,O60216,631
PF06677,Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27),pfam,family,IPR009563,-,-,O60232,199
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,O60241,1585
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,O60241,1585
PF19188,Adhesion GPCR B N-terminal region,pfam,family,IPR043838,-,-,O60241,1585
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,O60242,1522
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,O60242,1522
PF19188,Adhesion GPCR B N-terminal region,pfam,family,IPR043838,-,-,O60242,1522
PF08374,Protocadherin,pfam,family,IPR013585,-,-,O60245,1069
PF09744,JNK_SAPK-associated protein-1,pfam,family,IPR019143,-,-,O60271,1321
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase,pfam,family,IPR002498,-,-,O60331,668
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,O60343,1298
PF11830,Domain of unknown function (DUF3350),pfam,family,IPR021785,-,-,O60343,1298
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,O60346,1717
PF00822,PMP-22/EMP/MP20/Claudin family,pfam,family,IPR004031,-,-,O60359,315
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,O60447,810
PF11980,C-terminal domain of neuropilin glycoprotein,pfam,family,IPR022579,-,-,O60462,931
PF19052,BMP/retinoic acid-inducible neural-specific protein,pfam,family,IPR033237,-,-,O60477,761
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,O60486,1568
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,O60488,711
PF07555,beta-N-acetylglucosaminidase,pfam,family,IPR011496,-,-,O60502,916
PF02208,Sorbin homologous domain,pfam,family,IPR003127,-,-,O60504,671
PF05833,NFACT N-terminal and middle domains,pfam,family,-,-,-,O60524,1076
PF02181,Formin Homology 2 Domain,pfam,family,IPR015425,-,-,O60610,1272
PF03036,Perilipin family,pfam,family,IPR004279,-,-,O60664,434
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,O60669,478
PF06325,Ribosomal protein L11 methyltransferase (PrmA),pfam,family,-,-,-,O60678,531
PF01734,Patatin-like phospholipase,pfam,family,IPR002641,-,-,O60733,806
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,O60741,890
PF08412,Ion transport protein N-terminal,pfam,family,IPR013621,-,-,O60741,890
PF03700,"Sorting nexin, N-terminal domain",pfam,family,IPR005329,-,-,O60749,519
PF00535,Glycosyl transferase family 2,pfam,family,IPR001173,-,-,O60762,260
PF04871,"Uso1 / p115 like vesicle tethering protein, C terminal region",pfam,family,IPR006955,-,-,O60763,962
PF00253,Ribosomal protein S14p/S29e,pfam,family,IPR001209,-,-,O60783,128
PF03208,PRA1 family protein,pfam,family,IPR004895,-,-,O60831,178
PF01472,PUA domain,pfam,family,IPR002478,-,-,O60832,514
PF01509,TruB family pseudouridylate synthase (N terminal domain),pfam,family,IPR002501,-,-,O60832,514
PF16198,tRNA pseudouridylate synthase B C-terminal domain,pfam,family,IPR032819,-,-,O60832,514
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,O60861,476
PF08523,Multiprotein bridging factor 1,pfam,family,IPR013729,-,-,O60869,148
PF02181,Formin Homology 2 Domain,pfam,family,IPR015425,-,-,O60879,1101
PF00001,7 transmembrane receptor (rhodopsin family),pfam,family,IPR000276,-,-,O60883,481
PF11976,Ubiquitin-2 like Rad60 SUMO-like,pfam,family,IPR022617,-,-,O60884,412
PF07491,Protein phosphatase inhibitor,pfam,family,IPR011107,-,-,O60927,126
PF00664,ABC transporter transmembrane region,pfam,family,IPR011527,-,-,O75027,752
PF00387,"Phosphatidylinositol-specific phospholipase C, Y domain",pfam,family,IPR001711,-,-,O75038,1416
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,O75038,1416
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,O75044,1071
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,O75051,1894
PF01034,Syndecan domain,pfam,family,IPR027789,-,-,O75056,442
PF02141,DENN (AEX-3) domain,pfam,family,IPR001194,-,-,O75064,1496
PF01562,Reprolysin family propeptide,pfam,family,IPR002870,-,-,O75077,832
PF08516,ADAM cysteine-rich,pfam,family,IPR006586,-,-,O75077,832
PF01562,Reprolysin family propeptide,pfam,family,IPR002870,-,-,O75078,769
PF08516,ADAM cysteine-rich,pfam,family,IPR006586,-,-,O75078,769
PF00122,E1-E2 ATPase,pfam,family,-,-,-,O75110,1047
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,O75110,1047
PF16209,Phospholipid-translocating ATPase N-terminal,pfam,family,IPR032631,-,-,O75110,1047
PF16212,Phospholipid-translocating P-type ATPase C-terminal,pfam,family,IPR032630,-,-,O75110,1047
PF15936,Domain of unknown function (DUF4749),pfam,family,IPR031847,-,-,O75112,727
PF01290,Thymosin beta-4 family,pfam,family,IPR001152,-,-,O75128,1261
PF02205,WH2 motif,pfam,family,IPR003124,-,-,O75128,1261
PF07002,Copine,pfam,family,IPR010734,-,-,O75131,537
PF10033,Autophagy-related protein 13,pfam,family,IPR018731,-,-,O75143,517
PF01608,I/LWEQ domain,pfam,family,IPR002558,-,-,O75146,1068
PF12807,Translation initiation factor eIF3 subunit 135,pfam,family,IPR033646,-,-,O75153,1309
PF15044,"Mitochondrial function, CLU-N-term",pfam,family,IPR028275,-,-,O75153,1309
PF04499,SIT4 phosphatase-associated protein,pfam,family,IPR007587,-,-,O75170,966
PF04065,"Not1 N-terminal domain, CCR4-Not complex component",pfam,family,IPR007207,-,-,O75175,753
PF13772,AIG2-like family,pfam,family,-,-,-,O75223,188
PF01058,"NADH ubiquinone oxidoreductase, 20 Kd subunit",pfam,family,IPR006137,-,-,O75251,213
PF00346,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit",pfam,family,IPR001135,-,-,O75306,463
PF03367,ZPR1 zinc-finger domain,pfam,family,IPR004457,-,-,O75312,459
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,O75326,666
PF01150,GDA1/CD39 (nucleoside phosphatase) family,pfam,family,IPR000407,-,-,O75355,529
PF04908,"SH3-binding, glutamic acid-rich protein",pfam,family,IPR006993,-,-,O75368,114
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,O75379,141
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,O75396,215
PF01846,FF domain,pfam,family,IPR002713,-,-,O75400,957
PF10568,Outer mitochondrial membrane transport complex protein,pfam,family,IPR019564,-,-,O75431,263
PF03643,Vacuolar protein sorting-associated protein 26,pfam,family,IPR028934,-,-,O75436,327
PF08040,MNLL subunit,pfam,family,IPR012575,-,-,O75438,58
PF00675,Insulinase (Peptidase family M16),pfam,family,IPR011765,-,-,O75439,489
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,O75477,348
PF01153,Glypican,pfam,family,IPR001863,-,-,O75487,556
PF00329,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit",pfam,family,IPR001268,-,-,O75489,264
PF00822,PMP-22/EMP/MP20/Claudin family,pfam,family,IPR004031,-,-,O75508,207
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,O75582,802
PF04176,TIP41-like family,pfam,family,IPR007303,-,-,O75663,272
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,O75688,479
PF03177,Non-repetitive/WGA-negative nucleoporin C-terminal,pfam,family,IPR007187,-,-,O75694,1391
PF15224,Scrapie-responsive protein 1,pfam,family,IPR028063,-,-,O75711,98
PF03285,Paralemmin,pfam,family,IPR004965,-,-,O75781,387
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,O75787,350
PF07850,Renin receptor-like protein,pfam,family,IPR012493,-,-,O75787,350
PF12353,Eukaryotic translation initiation factor 3 subunit G,pfam,family,IPR024675,-,-,O75821,320
PF08597,Translation initiation factor eIF3 subunit,pfam,family,IPR013906,-,-,O75822,258
PF02630,SCO1/SenC,pfam,family,IPR003782,-,-,O75880,301
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,O75882,1429
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,O75891,902
PF15000,Tumour suppressor candidate 2,pfam,family,IPR029393,-,-,O75896,110
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,O75899,941
PF03208,PRA1 family protein,pfam,family,IPR004895,-,-,O75915,188
PF05700,Breast carcinoma amplified sequence 2 (BCAS2),pfam,family,IPR008409,-,-,O75934,225
PF07426,Dynactin subunit p22,pfam,family,IPR009991,-,-,O75935,186
PF05873,"ATP synthase D chain, mitochondrial (ATP5H)",pfam,family,IPR008689,-,-,O75947,161
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,O75955,427
PF04718,Mitochondrial ATP synthase g subunit,pfam,family,IPR006808,-,-,O75964,103
PF20053,Wolframin cysteine-rich domain,pfam,family,IPR045400,-,-,O76024,890
PF01222,Ergosterol biosynthesis ERG4/ERG24 family,pfam,family,IPR001171,-,-,O76062,418
PF01387,Synuclein,pfam,family,IPR001058,-,-,O76070,127
PF19420,"N,N dimethylarginine dimethylhydrolase, eukaryotic",pfam,family,-,-,-,O94760,285
PF03360,Glycosyltransferase family 43,pfam,family,IPR005027,-,-,O94766,335
PF01448,ELM2 domain,pfam,family,IPR000949,-,-,O94776,668
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,O94788,518
PF00022,Actin,pfam,family,IPR004000,-,-,O94805,426
PF02825,WWE domain,pfam,family,IPR004170,-,-,O94830,711
PF02862,DDHD domain,pfam,family,IPR004177,-,-,O94830,711
PF09743,E3 UFM1-protein ligase 1,pfam,family,IPR018611,-,-,O94874,794
PF09756,DDRGK domain,pfam,family,IPR019153,-,-,O94874,794
PF02208,Sorbin homologous domain,pfam,family,IPR003127,-,-,O94875,1100
PF12485,Lymphocyte signaling adaptor protein,pfam,family,IPR021090,-,-,O94885,1247
PF07738,Sad1 / UNC-like C-terminal,pfam,family,IPR012919,-,-,O94901,785
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,O94905,339
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,O94910,1474
PF02354,Latrophilin Cytoplasmic C-terminal region,pfam,family,IPR003334,-,-,O94910,1474
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,O94910,1474
